City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
230,Phan Thiet,VN,10.9333,108.1,76.59,91,85,4.34,overcast clouds,2021-11-06 16:39:23
231,Thompson,CA,55.7435,-97.8558,30.36,93,90,5.75,light snow,2021-11-06 16:39:23
232,Arman,RU,59.7,150.1667,35.02,94,100,16.8,overcast clouds,2021-11-06 16:39:23
233,Touros,BR,-5.1989,-35.4608,88.7,62,96,13.47,overcast clouds,2021-11-06 16:39:24
234,Port Hardy,CA,50.6996,-127.4199,41.0,100,40,3.44,scattered clouds,2021-11-06 16:39:24
235,Unguia,CO,8.0434,-77.0945,85.26,74,61,2.04,broken clouds,2021-11-06 16:39:24
236,Santo Tomas,PH,14.1079,121.1414,82.65,95,46,3.6,scattered clouds,2021-11-06 16:39:25
237,Cherskiy,RU,68.75,161.3,1.44,83,72,10.56,broken clouds,2021-11-06 16:39:25
238,Ishigaki,JP,24.3448,124.1572,77.99,72,67,10.07,broken clouds,2021-11-06 16:39:25
239,Kudahuvadhoo,MV,2.6708,72.8944,82.72,74,89,13.31,overcast clouds,2021-11-06 16:39:26
240,Olavarria,AR,-36.8927,-60.3225,67.01,32,86,5.21,overcast clouds,2021-11-06 16:39:26
241,Mar Del Plata,AR,-38.0023,-57.5575,55.42,78,75,8.01,broken clouds,2021-11-06 16:36:46
242,Margate,GB,51.3813,1.3862,55.26,74,87,5.01,overcast clouds,2021-11-06 16:39:26
243,Belyy Yar,RU,53.6039,91.3903,31.89,70,40,13.42,scattered clouds,2021-11-06 16:39:27
244,Winneba,GH,5.3511,-0.6231,84.67,77,60,9.06,broken clouds,2021-11-06 16:39:27
245,Ossora,RU,59.2353,163.0719,13.42,92,44,4.79,scattered clouds,2021-11-06 16:39:27
246,Mawlaik,MM,23.6333,94.4167,69.48,90,2,0.67,clear sky,2021-11-06 16:39:28
247,Cukai,MY,4.25,103.4167,80.74,88,51,2.71,broken clouds,2021-11-06 16:39:28
248,Kambove,CD,-10.8764,26.5969,76.75,29,41,1.97,scattered clouds,2021-11-06 16:39:28
249,Oranjemund,NA,-28.55,16.4333,61.57,73,64,20.07,broken clouds,2021-11-06 16:39:29
250,Broome,US,42.2506,-75.833,50.05,58,1,1.01,clear sky,2021-11-06 16:39:29
251,Uthal,PK,25.8072,66.6219,78.17,40,0,3.18,clear sky,2021-11-06 16:39:30
252,Sur,OM,22.5667,59.5289,77.22,54,0,4.47,clear sky,2021-11-06 16:39:30
253,Upernavik,GL,72.7868,-56.1549,12.87,81,11,9.28,few clouds,2021-11-06 16:39:30
254,Nemencine,LT,54.85,25.4833,46.92,84,100,19.1,overcast clouds,2021-11-06 16:39:30
255,Yanam,IN,16.7333,82.2167,79.2,83,85,5.53,overcast clouds,2021-11-06 16:39:31
256,Santa Cruz,BO,-17.8,-63.1667,71.65,53,75,13.8,broken clouds,2021-11-06 16:39:31
257,Makarov,RU,48.6333,142.8,31.28,66,100,17.72,light snow,2021-11-06 16:39:32
258,Fairlie,GB,55.756,-4.8556,51.71,89,49,15.99,light rain,2021-11-06 16:39:32
